"arquivo_original","arquivo_novo","cor","modelagem","comprimento","decote","manga","tecido","detalhes"
"100.webp","azul-marinho_princesa_longo_v.webp","azul-marinho","princesa","longo","v","sem-manga","",""
"104.webp","azul-royal_sereia_longo_outro_fenda.webp","azul-royal","sereia","longo","outro","sem-manga","cetim","fenda;babados"
"108.webp","preto_princesa_longo_canoa.webp","preto","princesa","longo","canoa","sem-manga","",""
"109.webp","preto_sereia_longo_v_fenda.webp","preto","sereia","longo","v","sem-manga","cetim","fenda;renda"
"110.webp","pink_sereia_longo_v_fenda.webp","pink","sereia","longo","v","alca-fina","cetim","fenda"
"111.webp","pink_princesa_longo_outro.webp","pink","princesa","longo","outro","sem-manga","",""
"120.webp","verde-escuro_evase_longo_canoa_babados.webp","verde-escuro","evase","longo","canoa","sem-manga","","babados;drapeado"
"121.webp","cobre_sereia_longo_um-ombro_babados.webp","cobre","sereia","longo","um-ombro","sem-manga","cetim","drapeado;babados"
"122.webp","marrom_sereia_longo_um-ombro_fenda.webp","marrom","sereia","longo","um-ombro","sem-manga","","fenda;drapeado"
"123.webp","marrom_evase_longo_ombro-a-ombro_fenda.webp","marrom","evase","longo","ombro-a-ombro","manga-curta","","fenda;babados;laco"
"124.webp","azul-marinho_trompete_longo_ombro-a-ombro_bordado.webp","azul-marinho","trompete","longo","ombro-a-ombro","manga-bufante","","bordado;brilho"
"125.webp","azul-royal_princesa_longo_v_laco.webp","azul-royal","princesa","longo","v","sem-manga","","laco;drapeado"
"12561BB4-1585-4600-AC28-2320D8F08838.webp","verde-esmeralda_princesa_longo_v_transparencia.webp","verde-esmeralda","princesa","longo","v","alca-fina","tule","transparencia;paete;bordado"
"128.webp","bordo_trompete_longo_canoa_babados.webp","bordo","trompete","longo","canoa","sem-manga","","babados"
"129.webp","amarelo_princesa_longo_canoa.webp","amarelo","princesa","longo","canoa","sem-manga","",""
"130.webp","amarelo_sereia_longo_um-ombro_fenda.webp","amarelo","sereia","longo","um-ombro","alca-fina","","fenda"
"131.webp","laranja_imperio_longo_ombro-a-ombro_drapeado.webp","laranja","imperio","longo","ombro-a-ombro","","","drapeado"
"16A40F22-407B-44EC-9A64-4F722105CF39.webp","pink_princesa_longo_v_paete.webp","pink","princesa","longo","v","alca-fina","tule","paete;bordado"
"28.webp","azul-claro_evase_longo_v_bordado.webp","azul-claro","evase","longo","v","alca-fina","tule","bordado;transparencia;fenda"
"31.webp","azul-turquesa_evase_longo_v_bordado.webp","azul-turquesa","evase","longo","v","sem-manga","tule","bordado;transparencia;renda"
"32.webp","azul-claro_evase_longo_um-ombro_fenda.webp","azul-claro","evase","longo","um-ombro","alca-larga","","fenda"
"42.webp","verde-musgo_evase_longo_v_bordado.webp","verde-musgo","evase","longo","v","alca-fina","tule","bordado;transparencia;renda"
"43.webp","verde-tiffany_princesa_longo_ombro-a-ombro_bordado.webp","verde-tiffany","princesa","longo","ombro-a-ombro","manga-bufante","tule","bordado;transparencia;fenda"
"44.webp","verde-militar_imperio_longo_v_laco.webp","verde-militar","imperio","longo","v","manga-curta","tule","laco;transparencia"
"46.webp","rosa-antigo_evase_longo_v.webp","rosa-antigo","evase","longo","v","alca-fina","cetim",""
"48.webp","bordo_princesa_longo_um-ombro_babados.webp","bordo","princesa","longo","um-ombro","sem-manga","tule","babados;transparencia"
"48175246-DFEA-424C-8393-3F1974C2C900.webp","preto_sereia_longo_canoa_fenda.webp","preto","sereia","longo","canoa","sem-manga","","fenda"
"4F10251F-A7AA-47B4-B79D-4A2F4ACC920D.webp","vermelho_imperio_longo_v_babados.webp","vermelho","imperio","longo","v","manga-longa","","babados;drapeado"
"55.webp","pink_reto_longo_halter_babados.webp","pink","reto","longo","halter","sem-manga","","babados"
"57.webp","verde-limao_evase_longo_gola-alta_bordado.webp","verde-limao","evase","longo","gola-alta","sem-manga","","bordado;transparencia;fenda"
"58.webp","vermelho_evase_longo_v_bordado.webp","vermelho","evase","longo","v","alca-fina","tule","bordado;babados"
"59.webp","magenta_evase_longo_v_bordado.webp","magenta","evase","longo","v","alca-fina","tule","bordado;transparencia"
"60.webp","verde-menta_evase_longo_v_brilho.webp","verde-menta","evase","longo","v","manga-longa","","brilho;transparencia"
"62.webp","verde-petroleo_evase_longo_um-ombro_fenda.webp","verde-petroleo","evase","longo","um-ombro","alca-fina","cetim","fenda;drapeado"
"63.webp","magenta_sereia_longo_v_fenda.webp","magenta","sereia","longo","v","alca-fina","cetim","fenda"
"65.webp","pink_sereia_longo_outro_fenda.webp","pink","sereia","longo","outro","alca-fina","cetim","fenda"
"68.webp","verde-esmeralda_evase_longo_v_laco.webp","verde-esmeralda","evase","longo","v","alca-larga","cetim","laco;fenda"
"69.webp","azul-claro_evase_longo_canoa_fenda.webp","azul-claro","evase","longo","canoa","sem-manga","cetim","fenda"
"70.webp","pink_evase_longo_v_laco.webp","pink","evase","longo","v","manga-curta","cetim","laco;fenda"
"74.webp","azul-claro_evase_longo_v_fenda.webp","azul-claro","evase","longo","v","manga-longa","","fenda"
"75.webp","verde-limao_imperio_longo_outro_drapeado.webp","verde-limao","imperio","longo","outro","sem-manga","","drapeado"
"76.webp","laranja_imperio_longo_um-ombro_drapeado.webp","laranja","imperio","longo","um-ombro","manga-longa","","drapeado"
"77.webp","bordo_sereia_longo_gola-alta_fenda.webp","bordo","sereia","longo","gola-alta","manga-longa","cetim","fenda;drapeado"
"7BA45A27-5628-4F3B-A17E-E0D3BDBD1F8D.webp","lilas_sereia_longo_v_fenda.webp","lilas","sereia","longo","v","alca-fina","cetim","fenda;babados"
"80.webp","verde-oliva_sereia_longo_outro_fenda.webp","verde-oliva","sereia","longo","outro","sem-manga","","fenda;drapeado"
"84C25E0D-B733-430C-8F76-84CB817EE6C9.webp","verde-oliva_sereia_longo_v.webp","verde-oliva","sereia","longo","v","alca-fina","cetim",""
"86.webp","terracota_evase_longo_outro_fenda.webp","terracota","evase","longo","outro","sem-manga","cetim","fenda"
"87.webp","pink_evase_longo_um-ombro_fenda.webp","pink","evase","longo","um-ombro","sem-manga","","fenda;brilho"
"89.webp","verde-oliva_evase_longo_canoa_babados.webp","verde-oliva","evase","longo","canoa","sem-manga","","babados;drapeado"
"8BE16BF4-C3EB-48E8-BBC9-CEFCF3D44053.webp","terracota_sereia_longo_v_drapeado.webp","terracota","sereia","longo","v","manga-longa","","drapeado"
